
TDR_adhoc_alpha10pwr90_2s_2by2_alphaonly_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,s,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.05,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.06,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.07,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.08,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.09,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.1,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.11,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.12,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.13,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.14,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.15,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.16,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.17,0.05,0.9
0.35,0.55,19,19,-3,7,45,45,4,27,0.08884,0.18489,0.23764,0.21185,0.9144,0.03666,0.09485,0.00438,0.31254,0.04962,0.50376,0.04456,82.661216911315,38,128,0.99,0.18,0.05,0.9
